User type,Organization,Page Visited,Date and Time,User IP address
Empty,Empty,/,2013-05-01 00:51:22,65.82.8.201
Empty,Empty,/index.php,2013-05-01 00:51:26,65.82.8.201
Social Worker,none,/,2013-05-01 05:48:23,65.34.169.74
Social Worker,none,Housing - Rent vs. Buy Decision Making,2013-05-01 05:48:49,65.34.169.74
Social Worker,none,Housing - Rent vs. Buy Decision Making,2013-05-01 05:48:59,65.34.169.74
Social Worker,none,Housing - Rent vs. Buy Decision Making,2013-05-01 05:50:22,65.34.169.74
Social Worker,none,Housing - Rent vs. Buy Decision Making,2013-05-01 05:50:22,65.34.169.74
Social Worker,none,Housing - Rent Assistance Options,2013-05-01 05:50:30,65.34.169.74
Social Worker,none,Housing - Rent Accumulation Table,2013-05-01 05:50:36,65.34.169.74
Social Worker,none,Housing - Buying a Home,2013-05-01 05:50:42,65.34.169.74
Social Worker,none,Housing - Financial Assistance for Household Expenses,2013-05-01 05:50:49,65.34.169.74
Social Worker,none,Housing - Beware of Foreclosure Rescue Scams!,2013-05-01 05:50:55,65.34.169.74
Social Worker,none,Housing - Home Ownership Assistance,2013-05-01 05:51:00,65.34.169.74
Social Worker,none,Housing - What is Assisted Living?,2013-05-01 05:51:04,65.34.169.74
Social Worker,none,Housing - Rent vs. Buy Decision Making,2013-05-01 05:51:21,65.34.169.74
Social Worker,none,Food - Build a healthy plate,2013-05-01 05:51:36,65.34.169.74
Social Worker,none,The Bean Game - The Bean Game,2013-05-01 05:51:48,65.34.169.74
Maintainer,Housing Solutions,/,2013-05-01 07:33:41,64.251.18.10
Maintainer,Housing Solutions,/links.php,2013-05-01 07:33:57,64.251.18.10
Maintainer,Housing Solutions,/links.php,2013-05-01 07:34:08,64.251.18.10
Maintainer,Housing Solutions,/contact.php,2013-05-01 07:34:10,64.251.18.10
Maintainer,Housing Solutions,/about.php,2013-05-01 07:35:52,64.251.18.10
Maintainer,Housing Solutions,The Bean Game - The Bean Game,2013-05-01 07:36:04,64.251.18.10
Maintainer,Housing Solutions,The Bean Game - The Bean Game,2013-05-01 07:36:15,64.251.18.10
Maintainer,Housing Solutions,The Bean Game - The Bean Game,2013-05-01 07:36:31,64.251.18.10
Maintainer,Housing Solutions,The Bean Game - The Bean Game,2013-05-01 07:36:31,64.251.18.10
